code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
4006985906203,0.0230769230769231,High,Low Sugar,No
3124480191182,1.0,Low,Moderate Sugar,Yes
5053990161669,0.0592592592592593,High,Low Sugar,Yes
6111242107380,0.423076923076923,Low,Moderate Sugar,Yes
3228857001378,0.206208425720621,High,Moderate Sugar,Yes
6111032006749,1.0,Moderate,High Sugar,Yes
6111252422008,0.271523178807947,High,Low Sugar,No
6111262821150,0.110887096774194,High,Low Sugar,Yes
3664346312936,0.983333333333333,High,High Sugar,Yes
5057967395071,0.0622119815668203,High,Low Sugar,No
6111032010135,0.0,Low,Low Sugar,Yes
8715700407760,0.980237154150198,Moderate,High Sugar,No
4056489141877,-1.0,High,Low Sugar,No
5449000015105,1.0,Low,Moderate Sugar,Yes
6111250474191,0.0,Low,Low Sugar,No
3302740087059,0.0454545454545455,Moderate,Low Sugar,Yes
3760049794298,0.121739130434783,High,Moderate Sugar,Yes
8410111211202,-1.0,Moderate,Low Sugar,Yes
3168930009078,0.0183333333333333,High,Low Sugar,No
3017760542890,0.0366197183098592,High,Low Sugar,Yes
3272770098090,1.0,High,Low Sugar,Yes
3168930163480,0.942857142857143,Low,Low Sugar,No
6111180007650,-1.0,High,Low Sugar,No
4056489216162,0.769230769230769,Low,Low Sugar,Yes
5053990167807,0.0259259259259259,High,Low Sugar,Yes
5060198641251,0.0212765957446809,High,Low Sugar,No
5013665115373,0.0705882352941176,High,Low Sugar,Yes
6111184004716,0.391919191919192,Moderate,Low Sugar,Yes
6111025120605,0.946428571428571,High,High Sugar,Yes
3229820181950,0.447761194029851,High,High Sugar,Yes
5053990107339,0.025,High,Low Sugar,Yes
6111024002186,-1.0,High,Low Sugar,Yes
5010477348357,0.310344827586207,High,High Sugar,Yes
4008713756661,0.011864406779661,High,Low Sugar,No
6111021026000,0.375,Moderate,Moderate Sugar,No
8712100338694,0.00581395348837209,High,Low Sugar,No
4056489039518,0.0636363636363636,High,Low Sugar,Yes
6111017007013,1.0,High,High Sugar,Yes
7613035530799,0.271523178807947,High,Low Sugar,Yes
3083681095296,0.964912280701754,Low,Moderate Sugar,No
4088600060880,0.673913043478261,Moderate,Low Sugar,No
6111032004455,0.721085681904916,Low,Moderate Sugar,Yes
6111032006718,0.271523178807947,High,Low Sugar,Yes
6111162001164,0.0668514593184412,High,Low Sugar,No
5014213711290,0.33125,High,Moderate Sugar,No
5000165024014,1.0,High,Low Sugar,No
5060092690331,1.0,High,Low Sugar,No
5051399182506,0.0789473684210526,Moderate,Low Sugar,No
8410510012202,0.705882352941177,High,Moderate Sugar,Yes
3067140013120,0.271523178807947,High,Low Sugar,No
20150907,0.903846153846154,High,High Sugar,No
6111184000701,0.0,Moderate,Low Sugar,No
6111243860376,0.992647058823529,Low,Moderate Sugar,Yes
3021769505602,0.846153846153846,Low,Moderate Sugar,Yes
7613032655495,1.0,Moderate,Moderate Sugar,Yes
3046920016377,0.0,High,Low Sugar,No
6111162000181,1.0,Moderate,Low Sugar,No
7622210995087,0.930232558139535,High,High Sugar,Yes
5018357012497,0.220496894409938,High,Moderate Sugar,No
6111021090056,0.379746835443038,Moderate,Moderate Sugar,Yes
8402001010873,0.0615384615384615,High,Low Sugar,Yes
6111266962576,0.438144329896907,Moderate,Moderate Sugar,Yes
3033710065783,0.934659090909091,High,High Sugar,Yes
5000111046244,0.833333333333333,Low,Low Sugar,Yes
5060198640261,0.0373333333333333,High,Low Sugar,No
3228857000852,0.145833333333333,High,Moderate Sugar,Yes
3760049790252,0.0717948717948718,High,Low Sugar,Yes
6111032010128,0.0,Low,Low Sugar,Yes
6111032002208,1.0,Moderate,Moderate Sugar,Yes
6111242882263,0.854166666666667,Low,Low Sugar,Yes
3366321051686,-1.0,High,Low Sugar,Yes
5010044000404,0.0666666666666667,Low,Low Sugar,Yes
5018095011271,0.0526315789473684,Moderate,Low Sugar,No
7613287194374,0.0101892285298399,High,Low Sugar,No
20000653,1.0,Low,Moderate Sugar,Yes
3242274030056,0.241176470588235,Moderate,Low Sugar,Yes
3329757002998,0.0,Low,Low Sugar,Yes
8000500082379,0.979130434782609,High,High Sugar,Yes
5000246728749,1.0,High,Low Sugar,Yes
6111035002359,-1.0,Low,Low Sugar,No
5060088707685,0.875,High,High Sugar,Yes
